#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/v2/poses_v2_full.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "a3583ec3b05ec4397f74222c4802234f7ee960b25f93061cb951120e268bc42f"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "fe24fb1afd868ebbf0d17c89865e0023b67ad83c862b7efdc4fab8598a079465"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_paper.yaml", "sha256": "e4048a572421f174e4670fbb51050d61e65957319f0f3d120df78c66f49c0a91"}}, "git_commit": null, "timestamp": 1764781077.070817}
timestamp,frame,used_ids,decision_margins,rvec_cam_x,rvec_cam_y,rvec_cam_z,tvec_cam_x,tvec_cam_y,tvec_cam_z,rvec_world_x,rvec_world_y,rvec_world_z,tvec_world_x,tvec_world_y,tvec_world_z,tilt_cam_deg,tilt_world_deg
1764782596.731426,15,101;105;109;200;201;202,97.690;90.589;94.734;81.362;87.821;74.629,-0.6174414844604875,1.0977724278091996,1.9748433570656267,-0.30936060438536417,0.07185304568490904,0.29220587641054285,0.9887655851233919,-1.3026604560915163,-1.9106200217827545,0.058968784995614504,-0.3732430390522887,-0.1965983132692072,59.385,76.430
1764782596.866888,16,101;105;109;200;201;202,98.297;90.547;93.923;81.125;87.271;74.462,-0.6168376153468369,1.097823465785987,1.9743304447200671,-0.30938361312231866,0.07185281744769521,0.2924291099757845,0.9880558377882795,-1.3028123991823852,-1.9102061349349084,0.059085679528462595,-0.3734794548642877,-0.19648375105280055,59.380,76.424
1764782596.997713,17,101;105;109;200;201;202,98.048;90.138;94.104;80.834;88.238;77.050,-0.616691466844422,1.097453016226599,1.9740078607788938,-0.3095308853185408,0.07197244218992419,0.2924276406690992,0.987835119389186,-1.3024998361744369,-1.9098774103092857,0.059072390044175555,-0.3735632480452111,-0.19659737722505286,59.367,76.414
1764782597.134798,18,101;105;109;200;201;202,98.006;91.092;94.289;81.618;87.847;75.372,-0.6170284446634591,1.0977498805482262,1.9748623945165262,-0.3095834494854707,0.07182086768231492,0.29241080106817974,0.9883452488415544,-1.3026541199499013,-1.9107124431175795,0.058919916542069226,-0.3735616109333371,-0.19665855957274736,59.375,76.418
1764782597.274335,19,101;105;109;200;201;202,97.167;90.787;93.667;81.385;87.018;75.645,-0.6164472905516338,1.0985103439673278,1.9764841807902902,-0.3095711739574783,0.0714429323963478,0.2926424357652881,0.9880698894041179,-1.3031964941889898,-1.9125300129677498,0.05858157512870611,-0.3737435079028443,-0.1966379229088002,59.373,76.400
1764782597.401965,20,101;105;109;200;201;202,97.281;91.252;93.298;81.442;86.300;75.888,-0.615496251298362,1.099060497584228,1.978431933873256,-0.30960321306231575,0.0709793855992226,0.29292985425282797,0.9874676695197896,-1.3035002956432629,-1.9147347848679677,0.058141596777102705,-0.3739849152619137,-0.19666390084445728,59.350,76.359
1764782597.533422,21,101;105;109;200;201;202,97.279;91.251;93.020;82.465;86.520;75.818,-0.6155602229747745,1.0992691853207597,1.9793173069646297,-0.309566133270173,0.07064789663507828,0.2930705993952096,0.9877008190399023,-1.3035749754480748,-1.9156449356633873,0.05811873059794728,-0.37405326942301714,-0.19658153085404684,59.349,76.353
1764782597.666241,22,101;105;109;200;201;202,97.959;91.773;94.462;81.828;86.885;75.735,-0.615876848623434,1.0989254648792262,1.9793015929815294,-0.309718473911021,0.07074313707706364,0.29290312326331386,0.9880106213526189,-1.3032235428775647,-1.9155492252799664,0.058018576226105276,-0.3740011565856575,-0.19673302751940774,59.343,76.350
1764782597.808419,23,101;105;109;200;201;202,98.811;91.317;94.686;81.541;86.542;74.771,-0.6164918621760612,1.0984337959703991,1.9789627668076766,-0.30976838210728735,0.07107169052868005,0.29251161353368815,0.9885624180916899,-1.3027594223076542,-1.9150587213438874,0.05792609166456621,-0.37367608414124615,-0.19697817538040066,59.341,76.357
1764782597.932793,24,101;105;109;200;201;202,98.449;91.577;94.514;81.926;86.289;76.741,-0.6164254461672679,1.0986605025626244,1.980010827354163,-0.309807045625715,0.0709206920420674,0.2925336789711625,0.9886921392474783,-1.3028341109319943,-1.9161603522235535,0.057681470775410346,-0.3736835226966568,-0.1970903217765646,59.336,76.345
