#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "print_tilt", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "Preliminary_report/runs/bench_clean/1080p/debug_metrics.csv", "poses_csv": "Preliminary_report/runs/bench_clean/1080p/poses.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1920x1080.yaml", "sha256": "952be5b3ae075e7a682e9f0df1b90719a2f720999e5137c5c416f83951012924"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1920x1080.yaml", "sha256": "60a5e06a6e4c7d03766a5d0ec880f181abc2f6a8088620e79cc531b1f1b6642c"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766339172.167192}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx,t_read_ms,t_gray_ms,t_detect_ms,t_reproj_ms,t_ransac_ms,t_fuse_ms,t_ekf_ms,t_hud_ms,t_log_ms,t_total_ms
1766339177.245052,14.956,7,7,37.318,0.0,0.017,0.184,57.42,1300.6,0.6217,37.318,0.05,5.0,0,0,,,,,,,9.442,0.486,61.868,1.301,1.518,0.521,0.0,0.0,0.053,75.36
1766339177.310356,14.546,7,7,37.309,0.0,0.017,0.185,57.404,1301.7,0.6216,37.309,0.05,5.0,0,0,,,,,,,2.787,0.461,59.487,0.52,1.346,0.451,0.0,0.0,0.052,65.261
1766339177.392909,10.553,7,7,37.302,0.0,0.017,0.186,57.402,1300.6,0.6214,37.302,0.05,5.0,0,0,,,,,,,32.249,0.261,47.567,0.472,1.317,0.444,0.0,0.0,0.05,82.512
1766339177.459925,15.193,7,7,37.343,0.0,0.016,0.185,57.414,1301.2,0.6213,37.343,0.05,5.0,0,0,,,,,,,15.519,0.382,48.654,0.468,1.314,0.441,0.0,0.0,0.05,66.975
1766339177.526494,15.118,7,7,37.323,0.0,0.016,0.185,57.442,1300.7,0.6213,37.323,0.05,5.0,0,0,,,,,,,14.652,0.317,49.111,0.486,1.322,0.442,0.0,0.0,0.046,66.53
1766339177.592411,15.164,7,7,37.319,0.0,0.016,0.184,57.449,1300.9,0.6212,37.319,0.05,5.0,0,0,,,,,,,14.03,0.271,49.043,0.526,1.342,0.451,0.0,0.0,0.056,65.878
1766339177.659611,15.205,7,7,37.313,0.0,0.017,0.185,57.448,1300.7,0.621,37.313,0.05,5.0,0,0,,,,,,,13.881,0.419,50.324,0.529,1.342,0.45,0.0,0.0,0.055,67.158
1766339177.73197,15.178,7,7,37.318,0.0,0.017,0.185,57.426,1301.2,0.6214,37.318,0.05,5.0,0,0,,,,,,,12.564,0.537,56.679,0.528,1.35,0.455,0.0,0.0,0.048,72.317
1766339177.796995,14.896,7,7,37.32,0.0,0.017,0.186,57.417,1300.8,0.6213,37.32,0.05,5.0,0,0,,,,,,,7.337,0.429,54.747,0.492,1.322,0.451,0.0,0.0,0.051,64.984
1766339177.889571,10.196,7,7,37.32,0.0,0.016,0.186,57.408,1300.8,0.6211,37.32,0.05,5.0,0,0,,,,,,,40.386,0.535,49.097,0.51,1.333,0.456,0.0,0.0,0.057,92.534
1766339177.953571,15.135,7,7,37.304,0.0,0.017,0.185,57.408,1300.6,0.6211,37.304,0.05,5.0,0,0,,,,,,,13.881,0.287,47.228,0.531,1.34,0.452,0.0,0.0,0.074,63.957
1766339178.020628,15.103,7,7,37.293,0.0,0.017,0.185,57.397,1300.8,0.6214,37.293,0.05,5.0,0,0,,,,,,,16.095,0.476,47.915,0.521,1.342,0.456,0.0,0.0,0.049,67.015
1766339178.086177,15.173,7,7,37.314,0.0,0.017,0.184,57.412,1301.0,0.6216,37.314,0.05,5.0,0,0,,,,,,,14.945,0.273,47.799,0.507,1.33,0.447,0.0,0.0,0.052,65.508
1766339178.185257,10.101,7,7,37.317,0.0,0.017,0.184,57.403,1300.8,0.6209,37.317,0.05,5.0,0,0,,,,,,,48.401,0.248,47.557,0.499,1.325,0.454,0.0,0.0,0.396,99.039
1766339178.250197,15.11,7,7,37.308,0.0,0.017,0.184,57.409,1300.6,0.6212,37.308,0.05,5.0,0,0,,,,,,,15.496,0.375,46.523,0.51,1.327,0.445,0.0,0.0,0.058,64.893
1766339178.321836,15.279,7,7,37.311,0.0,0.017,0.185,57.419,1301.1,0.6217,37.311,0.05,5.0,0,0,,,,,,,15.997,0.455,52.569,0.526,1.351,0.473,0.0,0.0,0.05,71.585
1766339178.389292,14.963,7,7,37.32,0.0,0.017,0.185,57.434,1300.3,0.6213,37.32,0.05,5.0,0,0,,,,,,,11.204,0.384,53.266,0.523,1.354,0.466,0.0,0.0,0.056,67.414
1766339178.450953,15.228,7,7,37.301,0.0,0.017,0.186,57.403,1300.5,0.6211,37.301,0.05,5.0,0,0,,,,,,,9.416,0.366,49.314,0.52,1.335,0.455,0.0,0.0,0.055,61.621
1766339178.519025,15.112,7,7,37.313,0.0,0.017,0.184,57.409,1300.9,0.6214,37.313,0.05,5.0,0,0,,,,,,,13.924,0.295,51.318,0.5,1.33,0.45,0.0,0.0,0.058,68.03
1766339178.588007,15.106,7,7,37.336,0.0,0.016,0.185,57.411,1301.6,0.621,37.336,0.05,5.0,0,0,,,,,,,12.041,0.474,53.902,0.499,1.33,0.451,0.0,0.0,0.064,68.931
1766339178.652361,15.068,7,7,37.331,0.0,0.016,0.185,57.396,1300.9,0.6211,37.331,0.05,5.0,0,0,,,,,,,9.433,0.381,51.969,0.507,1.336,0.46,0.0,0.0,0.061,64.311
1766339178.718401,15.043,7,7,37.32,0.0,0.016,0.185,57.416,1300.7,0.6215,37.32,0.05,5.0,0,0,,,,,,,11.56,0.259,51.654,0.509,1.33,0.451,0.0,0.0,0.077,66.001
1766339178.783225,15.223,7,7,37.298,0.0,0.017,0.185,57.404,1300.2,0.6214,37.298,0.05,5.0,0,0,,,,,,,11.209,0.291,50.757,0.51,1.333,0.462,0.0,0.0,0.056,64.781
1766339178.848808,15.143,7,7,37.315,0.0,0.016,0.185,57.407,1300.4,0.621,37.315,0.05,5.0,0,0,,,,,,,12.424,0.56,50.036,0.504,1.34,0.46,0.0,0.0,0.056,65.541
1766339178.9158,15.047,7,7,37.31,0.0,0.017,0.184,57.405,1300.7,0.6214,37.31,0.05,5.0,0,0,,,,,,,13.302,0.464,50.688,0.493,1.335,0.453,0.0,0.0,0.061,66.952
1766339178.98156,15.292,7,7,37.314,0.0,0.016,0.185,57.411,1301.5,0.6218,37.314,0.05,5.0,0,0,,,,,,,11.691,0.285,51.25,0.501,1.332,0.445,0.0,0.0,0.05,65.709
1766339179.04995,15.218,7,7,37.299,0.0,0.017,0.185,57.411,1300.8,0.6218,37.299,0.05,5.0,0,0,,,,,,,11.652,0.282,53.963,0.493,1.311,0.444,0.0,0.0,0.049,68.348
1766339179.114476,15.2,7,7,37.323,0.0,0.017,0.185,57.408,1300.9,0.6213,37.323,0.05,5.0,0,0,,,,,,,9.052,0.309,52.565,0.537,1.348,0.458,0.0,0.0,0.052,64.486
