#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "cli_overrides": ["camera", "config", "debug_metrics", "extrinsics", "fps", "height", "print_tilt", "rig", "save_poses", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0, "spike_reset_after": 10}, "hud": {"enabled": false}, "logging": {"debug_metrics_csv": "Preliminary_report/runs/720p/base_debug.csv", "poses_csv": "Preliminary_report/runs/720p/base_poses.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": false, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "0", "fps": 30.0, "height": 720, "width": 1280}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib_c920_1280x720.yaml", "sha256": "416ced30fbd86be9fd78c0e9845e0c4d470a9880bebda0eb2a612d21823f5dc3"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC_c920_1280x720.yaml", "sha256": "d0e4db12a5153c0e7ac3625f5eec478b504b3bfc242bc8f0b4efbd0bfbadb1d7"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "f0fd590bf211070dbb1b2c6b32f4041175f33703203978255bdee60a8b77b6ef"}}, "git_commit": null, "timestamp": 1766337307.226397}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards,spike_delta_trans_m,spike_delta_rot_deg,spike_trans_thresh_m,spike_rot_thresh_deg,spike_ref_age_frames,spike_ref_frame_idx,t_read_ms,t_gray_ms,t_detect_ms,t_reproj_ms,t_ransac_ms,t_fuse_ms,t_ekf_ms,t_hud_ms,t_log_ms,t_total_ms
1766337309.596741,29.683,7,7,22.590,0.00000,0.042,0.375,55.742,582.6,0.6403,22.590,0.0500,5.000,0,0,0.3580,37.933,,15.000,6,33,3.314,0.123,27.778,0.508,1.333,0.349,0.000,0.000,0.056,33.626
1766337309.627789,29.996,6,6,22.489,0.00000,0.046,0.407,55.742,609.9,0.6649,22.489,0.0500,5.000,0,0,0.2461,32.382,,15.000,7,33,2.984,0.129,25.681,0.462,1.189,0.324,0.000,0.000,0.076,31.005
1766337309.663752,30.769,7,7,22.570,0.00000,0.042,0.373,55.742,581.6,0.6409,22.570,0.0500,5.000,0,0,0.3544,38.264,,15.000,8,33,4.434,0.163,28.898,0.497,1.331,0.352,0.000,0.000,0.061,35.918
1766337309.725493,14.975,6,6,22.500,0.00000,0.046,0.407,55.742,610.1,0.6648,22.500,0.0500,5.000,0,0,0.2454,32.566,,15.000,9,33,35.249,0.181,23.987,0.493,1.201,0.350,0.000,0.000,0.063,61.698
1766337309.762009,30.227,6,6,22.477,0.00000,0.046,0.407,45.643,609.8,0.6651,22.477,0.0500,5.000,0,0,0.2473,32.469,,15.000,10,33,6.592,0.114,27.443,0.462,1.172,0.424,0.000,0.000,0.055,36.473
1766337309.794404,31.443,6,6,22.495,0.00000,0.045,0.406,45.643,610.1,0.6649,22.495,0.0500,5.000,0,0,0.1845,23.103,,15.000,1,43,1.879,0.225,28.069,0.460,1.176,0.333,0.000,0.000,0.053,32.352
1766337309.827610,29.553,6,6,22.492,0.00000,0.046,0.407,45.643,610.2,0.6649,22.492,0.0500,5.000,0,0,0.1860,23.103,,15.000,2,43,3.323,0.118,27.547,0.456,1.184,0.325,0.000,0.000,0.053,33.164
1766337309.859058,31.241,6,6,22.496,0.00000,0.046,0.407,45.643,609.8,0.6646,22.496,0.0500,5.000,0,0,0.1864,23.245,,15.000,3,43,2.126,0.098,26.944,0.483,1.211,0.326,0.000,0.000,0.056,31.406
1766337309.894250,29.795,6,6,22.485,0.00000,0.046,0.408,45.643,609.8,0.6650,22.485,0.0500,5.000,0,0,0.1857,23.321,,15.000,4,43,4.240,0.104,28.634,0.452,1.174,0.337,0.000,0.000,0.055,35.148
1766337309.925178,30.108,6,6,22.494,0.00000,0.046,0.409,45.643,610.1,0.6646,22.494,0.0500,5.000,0,0,0.1892,23.387,,15.000,5,43,2.265,0.159,26.305,0.442,1.182,0.323,0.000,0.000,0.055,30.887
1766337309.961922,30.920,6,6,22.493,0.00000,0.046,0.407,45.643,610.1,0.6645,22.493,0.0500,5.000,0,0,0.1872,23.086,,15.000,6,43,3.679,0.196,30.636,0.462,1.192,0.327,0.000,0.000,0.054,36.702
1766337310.025981,15.101,7,7,22.585,0.00000,0.042,0.373,45.643,582.6,0.6413,22.585,0.0500,5.000,0,0,0.2944,28.883,,15.000,7,43,33.154,0.124,28.337,0.499,1.325,0.360,0.000,0.000,0.058,64.020
1766337310.057931,29.947,6,6,22.469,0.00000,0.046,0.407,45.643,609.5,0.6655,22.469,0.0500,5.000,0,0,0.1853,23.439,,15.000,8,43,2.485,0.187,26.975,0.524,1.189,0.322,0.000,0.000,0.059,31.906
1766337310.091231,31.317,6,6,22.502,0.00000,0.046,0.408,45.643,609.9,0.6643,22.502,0.0500,5.000,0,0,0.1872,23.324,,15.000,9,43,2.436,0.135,28.396,0.521,1.186,0.323,0.000,0.000,0.068,33.226
1766337310.123487,29.914,6,6,22.517,0.00000,0.046,0.408,38.340,610.2,0.6643,22.517,0.0500,5.000,0,0,0.1865,23.390,,15.000,10,43,2.596,0.131,26.849,0.438,1.533,0.451,0.000,0.000,0.060,32.213
1766337310.158520,29.694,6,6,22.495,0.00000,0.046,0.406,38.340,609.8,0.6646,22.495,0.0500,5.000,0,0,0.1419,16.423,,15.000,1,53,4.018,0.135,28.669,0.454,1.173,0.320,0.000,0.000,0.063,34.991
1766337310.190051,31.207,6,6,22.491,0.00000,0.046,0.407,38.340,609.6,0.6646,22.491,0.0500,5.000,0,0,0.1433,16.494,,15.000,2,53,1.026,0.237,27.689,0.430,1.532,0.346,0.000,0.000,0.053,31.488
1766337310.223357,29.065,6,6,22.504,0.00000,0.046,0.406,38.340,610.0,0.6648,22.504,0.0500,5.000,0,0,0.1427,16.565,,15.000,3,53,3.905,0.157,26.735,0.442,1.456,0.352,0.000,0.000,0.057,33.265
1766337310.256134,31.133,6,6,22.504,0.00000,0.046,0.408,38.340,610.1,0.6644,22.504,0.0500,5.000,0,0,0.1429,16.365,,15.000,4,53,2.717,0.141,27.474,0.445,1.384,0.354,0.000,0.000,0.056,32.735
1766337310.290904,29.552,6,6,22.506,0.00000,0.045,0.407,38.340,610.1,0.6643,22.506,0.0500,5.000,0,0,0.1427,16.419,,15.000,5,53,3.779,0.138,28.455,0.550,1.198,0.334,0.000,0.000,0.060,34.727
1766337310.322093,31.192,6,6,22.497,0.00000,0.046,0.406,38.340,610.1,0.6641,22.497,0.0500,5.000,0,0,0.1424,16.435,,15.000,6,53,1.068,0.255,27.578,0.457,1.181,0.391,0.000,0.000,0.057,31.145
1766337310.357081,30.060,6,6,22.508,0.00000,0.046,0.407,38.340,610.0,0.6647,22.508,0.0500,5.000,0,0,0.1405,16.361,,15.000,7,53,3.026,0.122,29.156,0.550,1.410,0.340,0.000,0.000,0.057,34.825
1766337310.392334,30.237,7,7,22.596,0.00000,0.042,0.375,38.340,582.5,0.6405,22.596,0.0500,5.000,0,0,0.2511,21.942,,15.000,8,53,1.225,0.132,31.398,0.512,1.349,0.366,0.000,0.000,0.060,35.206
1766337310.454675,15.026,6,6,22.502,0.00000,0.045,0.408,38.340,610.1,0.6647,22.502,0.0500,5.000,0,0,0.1422,16.245,,15.000,9,53,32.526,0.153,27.450,0.452,1.175,0.323,0.000,0.000,0.061,62.297
1766337310.490105,30.401,7,7,22.582,0.00000,0.042,0.375,31.294,582.3,0.6410,22.582,0.0500,5.000,0,0,0.2508,22.020,,15.000,10,53,3.080,0.123,29.269,0.481,1.615,0.553,0.000,0.000,0.054,35.388
1766337310.554204,15.078,6,6,22.502,0.00000,0.046,0.408,28.144,609.9,0.6646,22.502,0.0500,5.000,0,0,,,,,,,33.968,0.281,27.454,0.450,1.186,0.422,0.000,0.000,0.057,64.053
